"Date","FieldNotes","FlowAdjustment"
"Date Assessed Sunday, 2022-02-20","flow was 88.6 cfs.  Temperature was 29.1 deg C. Recorded by OVM.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Saturday, 2019-03-16","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by FNR.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Saturday, 2017-01-21","Streamflow is 166.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 23.6 deg C. Recorded by EGT.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2018-02-02","flow was 0.2 gpm.  Temperature was 26 deg C. Recorded by YOQ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2021-01-17","Stream flow at 84.2 cfs.  Temperature was 26.1 deg C. Recorded by JFU.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2019-05-19","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 25.3 deg C. Recorded by VEU.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2017-08-30","Streamflow is 0.2 gpm.  Temperature was 25.5 deg C. Recorded by YNG.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2017-04-02","Streamflow is 84.2 cfs.  Temperature was 22.4 deg C. Recorded by HCI.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2017-02-27","Streamflow is 100.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.7 deg C. Recorded by HMJ.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2019-09-27","Stream flow at 136.2 MGD. Wadable conditions. Temperature was 23.1 deg C. Recorded by ISJ.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2021-01-07","Streamflow is 91.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by ATD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2017-09-10","flow was 143.3 MGD.  Temperature was 31.5 deg C. Recorded by AHO.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Saturday, 2018-12-29","Stream flow at 110.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.3 deg C. Recorded by XNO.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2018-09-08","flow was 137.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by QWT.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2019-01-10","Streamflow is 110.2 cfs. Wadable conditions. Temperature was 28.5 deg C. Recorded by GAC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2019-08-19","Streamflow is 160.9 MGD. Wadable conditions. Temperature was 27.5 deg C. Recorded by SEG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2016-07-15","Streamflow is 151.1 MGD. Wadable conditions. Temperature was 34 deg C. Recorded by FBB.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2017-08-07","Stream flow at 155.4 MGD. Wadable conditions. Temperature was 28 deg C. Recorded by WAK.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2019-03-09","flow was 166.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28 deg C. Recorded by BSY.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2018-10-09","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.8 deg C. Recorded by MQD.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2016-09-08","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 27.7 deg C. Recorded by LYG.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2019-07-17","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 23.1 deg C. Recorded by WLG.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2019-12-03","Stream flow at 167.5 MGD. Wadable conditions. Temperature was 26 deg C. Recorded by SJD.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2021-07-24","flow was 103.8 cfs. Wadable conditions. Temperature was 27.9 deg C. Recorded by YLO.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2017-02-08","Streamflow is 166 MGD. Wadable conditions. Temperature was 30.8 deg C. Recorded by OJN.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2018-03-08","Stream flow at 174 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.4 deg C. Recorded by TSH.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2019-02-21","flow was 103.7 cfs. Wadable conditions. Temperature was 28 deg C. Recorded by HMF.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2019-04-10","Stream flow at 142.2 MGD.  Temperature was 35.4 deg C. Recorded by SVK.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2020-10-23","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by JED.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2016-10-22","Stream flow at 90.8 cfs. Wadable conditions. Temperature was 30.1 deg C. Recorded by NYW.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2019-06-21","Stream flow at 98.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.5 deg C. Recorded by GGV.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2022-03-09","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 32.2 deg C. Recorded by PKG.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2021-10-31","Stream flow at 140.4 MGD. Wadable conditions. Temperature was 27.1 deg C. Recorded by THV.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-05-24","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.3 deg C. Recorded by JFT.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Tuesday, 2017-07-11","Streamflow is 145.2 MGD. Wadable conditions. Temperature was 28.7 deg C. Recorded by PED.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-04-14","flow was 119.6 MGD.  Temperature was 29.7 deg C. Recorded by MBX.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2018-07-11","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by BRO.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2020-02-08","flow was 90.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.5 deg C. Recorded by ENJ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2019-09-09","flow was 0.3 gpm. Wadable conditions. Temperature was 29.5 deg C. Recorded by OYS.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2021-07-21","Stream flow at 0.2 gpm.  Temperature was 33.3 deg C. Recorded by XUE.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2017-08-24","Streamflow is 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.7 deg C. Recorded by TPX.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2018-04-21","flow was 104.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by IEP.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2022-03-03","Stream flow at 98.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 21.4 deg C. Recorded by CQK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2021-06-13","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 27.7 deg C. Recorded by TMK.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2020-06-23","flow was 135.3 MGD.  Temperature was 29.8 deg C. Recorded by VRW.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2020-06-25","Stream flow at 0.2 gpm.  Temperature was 29.7 deg C. Recorded by XTD.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2021-09-04","Stream flow at 104 cfs.  Temperature was 30 deg C. Recorded by SNK.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2021-05-27","Stream flow at 0.2 gpm.  Temperature was 20.6 deg C. Recorded by CTL.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2016-12-30","Streamflow is 173.9 MGD. Wadable conditions. Temperature was 30.6 deg C. Recorded by CGG.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2020-11-24","Stream flow at 86.8 cfs. Wadable conditions. Temperature was 26.9 deg C. Recorded by NCJ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2017-02-27","flow was 184.5 MGD.  Temperature was 28.2 deg C. Recorded by ULS.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2018-03-11","Streamflow is 103 cfs.  Temperature was 27.9 deg C. Recorded by MAP.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2018-07-01","Stream flow at 93.6 cfs. Wadable conditions. Temperature was 21.7 deg C. Recorded by ADQ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2020-08-09","flow was 157.9 MGD. Wadable conditions. Temperature was 25.5 deg C. Recorded by YXE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2017-05-03","Stream flow at 139.1 MGD. Wadable conditions. Temperature was 25.3 deg C. Recorded by SLC.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2020-10-08","Streamflow is 0.2 gpm.  Temperature was 28.4 deg C. Recorded by DBF.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2019-05-22","Streamflow is 139.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 31 deg C. Recorded by VSO.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Tuesday, 2019-07-09","flow was 183.8 MGD. Wadable conditions. Temperature was 26.5 deg C. Recorded by CBH.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2016-12-21","Streamflow is 149.7 MGD.  Temperature was 28.7 deg C. Recorded by DKE.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2017-08-25","Streamflow is 0.2 gpm.  Temperature was 24.9 deg C. Recorded by TOQ.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2017-09-08","flow was 0.2 gpm.  Temperature was 28.1 deg C. Recorded by IRE.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2020-01-16","Streamflow is 146.5 MGD. Wadable conditions. Temperature was 35.6 deg C. Recorded by GKU.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-03-22","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 32.5 deg C. Recorded by HEY.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2018-07-22","Stream flow at 0.2 gpm.  Temperature was 30.9 deg C. Recorded by AOF.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2017-09-01","flow was 96.6 cfs. Wadable conditions. Temperature was 28.5 deg C. Recorded by VNB.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Thursday, 2019-03-07","flow was 0.2 gpm.  Temperature was 28.9 deg C. Recorded by TUA.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-01-18","flow was 102.2 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by IIQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2017-11-17","flow was 167 MGD.  Temperature was 25.6 deg C. Recorded by ULP.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2019-11-09","Streamflow is 164.3 MGD. Wadable conditions. Temperature was 25.8 deg C. Recorded by KQS.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2020-02-07","Streamflow is 113 cfs.  Temperature was 24 deg C. Recorded by JQJ.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2021-01-14","flow was 151.7 MGD.  Temperature was 27.6 deg C. Recorded by YJU.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2019-10-09","Stream flow at 86.7 cfs. Wadable conditions. Temperature was 25.5 deg C. Recorded by UWP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2021-08-06","Streamflow is 153.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.9 deg C. Recorded by TLV.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2019-08-14","flow was 153.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by UCC.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2019-11-28","Streamflow is 150.5 MGD.  Temperature was 27.6 deg C. Recorded by YSP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2017-06-11","flow was 145.7 MGD.  Temperature was 22.6 deg C. Recorded by VGF.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2018-10-10","flow was 147.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by XXI.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2017-07-26","flow was 99 cfs. Wadable conditions. Temperature was 22.8 deg C. Recorded by HXA.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2016-07-20","flow was 0.2 gpm. Wadable conditions. Temperature was 29.3 deg C. Recorded by CLH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2016-11-26","flow was 137 MGD. Ambient Air Temperature was 28 deg C. Temperature was 27.8 deg C. Recorded by WPR.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2021-05-20","Streamflow is 149 MGD.  Temperature was 28.7 deg C. Recorded by LLU.","Flow was scaled by constant factor of 0.4 to account for science"
